,CF,SF,lat,lon,geo_size
1346,Payne County,Oklahoma,36.093474,-96.9882398475896,0.015031016448999977
1347,Peach County,Georgia,32.5651335,-83.83251025844098,0.004830967579499954
1348,Pearl River County,Mississippi,30.736475,-89.58392924748964,0.058363191765999835
1349,Pecos County,Texas,30.7118125,-102.65719801948669,0.3315163003040008
1350,Pembina County,North Dakota,48.771462,-97.55066255405406,0.001267410348500022
1351,Pemiscot County,Missouri,36.213491000000005,-89.8181887589206,0.059305426188499974
1352,Pend Oreille County,Washington,48.523092000000005,-117.26814016245166,0.2153851110800001
1353,Pender County,North Carolina,34.4929015,-77.90174873778048,0.023273391575
1354,Pendleton County,Kentucky,38.6846145,-79.34082131592466,0.020381883629999892
1355,Pennington County,Minnesota,44.0964515,-103.03105451990405,0.07288716454349975
1356,Penobscot County,Maine,45.5199665,-68.43248363457431,0.0455272638070003
1357,Peoria County,Illinois,40.743502500000005,-89.76944162699007,0.00047182221450000033
1358,Pepin County,Wisconsin,44.545751499999994,-92.08727500855309,0.02724417609750003
1359,Perkins County,South Dakota,45.4927625,-102.47533340135281,0.8615334951709986
1360,Perquimans County,North Carolina,36.198806000000005,-76.43214301672172,0.04744421065699973
1361,Perry County,Ohio,34.943752,-92.88094734610303,0.023770836241000168
1362,Pershing County,Nevada,40.480824,-118.33023485740048,1.6680218679079963
1363,Person County,North Carolina,36.3891985,-78.9725893862725,0.026917077492499945
1364,Petersburg Census Area,Alaska,56.558822000000006,-133.52061819425876,2.1572702835775
1365,Petersburg city,Virginia,37.2044555,-77.39053120506912,0.0006265374585000402
1366,Petroleum County,Montana,47.1736305,-108.33509736195651,0.5138387748835003
1367,Pettis County,Missouri,38.7245305,-93.28107746818016,0.061175793293999754
1368,Peñuelas Municipio,Puerto Rico,18.023501500000002,-66.71186766017154,0.0041451399275001044
1369,Phelps County,Nebraska,37.8779545,-91.77508392887356,0.13627669558450003
1370,Philadelphia County,Pennsylvania,40.001919,-75.14004033836359,0.0002522663594999863
1371,Phillips County,Kansas,48.224554,-107.8905628961012,0.11665841005599982
1372,Piatt County,Illinois,40.03658,-88.60404935443106,0.0069031439744999335
1373,Pickaway County,Ohio,39.640641,-83.04596433343934,0.0001772639134999773
1374,Pickens County,Georgia,33.2664195,-88.07266498701117,0.010171164896500063
1375,Pickett County,Tennessee,36.5160585,-85.15166650397508,0.04549205451200003
1376,Pierce County,Washington,47.0660035,-122.04015837010445,0.00024934004600002483
1377,Pike County,Ohio,39.492058,-90.98989157046981,0.03246719147749993
1378,Pima County,Arizona,31.9703455,-111.78450428705298,0.00012217801700000776
1379,Pinal County,Arizona,32.978007000000005,-111.3261723261301,0.02125765328000004
1380,Pine County,Minnesota,46.0746065,-92.67458973193,0.10863419182499989
1381,Pinellas County,Florida,27.891491000000002,-82.73863476017324,0.00035440189050002556
1382,Pipestone County,Minnesota,44.023236999999995,-96.25892440770998,0.06835726952549996
1383,Piscataquis County,Maine,45.792529,-69.27225785897436,1.016604537519498
1384,Pitkin County,Colorado,39.1721065,-106.9303930051834,0.12440753701700018
1385,Pitt County,North Carolina,35.580409,-77.36790185526317,0.013314047607500249
1386,Pittsburg County,Oklahoma,34.9471735,-95.79834620926161,0.05956864219950004
1387,Pittsylvania County,Virginia,36.840128,-79.3952863233925,0.032016382095999885
1388,Piute County,Utah,38.329003,-112.0929175803977,0.2043585711735003
1389,Placer County,California,39.0140065,-120.74334247418037,0.020753690209500155
1390,Plaquemines Parish,Louisiana,29.3799435,-89.5415533437024,0.08885223277249987
1391,Platte County,Nebraska,42.131462,-104.9676351534658,0.06696622541800001
1392,Pleasants County,West Virginia,39.372487,-81.15589858055975,0.02132287207449994
1393,Plumas County,California,40.023337,-120.80545340529142,0.0351398906389997
1394,Plymouth County,Massachusetts,42.73541,-96.24545784413152,7.377811349998918e-05
1395,Pocahontas County,West Virginia,38.3880315,-79.98555401345789,0.03168361550000007
1396,Poinsett County,Arkansas,35.573095,-90.66283831043413,0.0014158488725000255
1397,Pointe Coupee Parish,Louisiana,30.7516655,-91.67536014848312,0.0005401076154999924
1398,Polk County,Minnesota,28.002556,-81.73819340122722,0.14973376272699934
1399,Ponce Municipio,Puerto Rico,18.002097,-66.60990942296615,0.0002136760700000011
1400,Pondera County,Montana,48.233954,-112.44632668552016,0.28294829832300017
1401,Pontotoc County,Oklahoma,34.735085999999995,-96.66953369533468,0.04871869192799957
1402,Pope County,Minnesota,45.586054000000004,-95.44907289605086,0.07309732799950008
1403,Poquoson city,Virginia,37.1470825,-76.2736419848716,0.014775245751999894
1404,Portage County,Ohio,44.464796,-89.47498763159888,0.0027705195064999786
1405,Porter County,Indiana,41.490044499999996,-87.07475779789567,0.0008478994574999933
1406,Portsmouth city,Virginia,36.868929,-76.37471712650685,0.0005149944639999908
1407,Posey County,Indiana,38.001200499999996,-87.86107026731115,0.026351870254999975
1408,Pottawatomie County,Kansas,39.34643,-96.35391156864664,0.0452799742039999
1409,Pottawattamie County,Iowa,41.333039,-95.55081642590758,0.03050168932500008
1410,Potter County,Pennsylvania,45.07206,-99.94808359538311,0.06833131661499994
1411,Powder River County,Montana,45.3911505,-105.61097113374439,0.9814978759324989
1412,Powell County,Kentucky,46.9329405,-113.0493227848884,0.029994680027000307
