city,rank,lat,lon
Portage,393,41.5866,-87.1792
Willimantic,394,41.7153,-72.2173
Lake Havasu City,395,34.5006,-114.3113
Rochester,396,44.0151,-92.4778
Wheeling,397,40.0752,-80.6951
Sebastian,398,27.7882,-80.4813
Madera,399,36.9631,-120.0782
Morehead City,400,34.7308,-76.7387
Longview,401,32.5193,-94.7621
Kankakee,402,41.1019,-87.8643
Williamsport,403,41.2398,-77.0371
Columbus,404,41.4368,-97.3563
Fort Dodge,405,42.5098,-94.1751
Monroe,406,33.799,-83.716
Michigan City,407,41.7099,-86.8705
Leland,408,34.2044,-78.0277
Jacksonville,409,34.7288,-77.3941
Coweta,410,35.968,-95.6543
Phenix City,411,32.4588,-85.0251
Concord,412,43.2305,-71.5595
Cleveland,413,35.1817,-84.8707
Sylacauga,414,33.1778,-86.2606
Canyon,415,34.9877,-101.9178
Peru,416,41.3484,-89.137
Sierra Vista,417,31.563,-110.3153
Pittsfield,418,42.4517,-73.2605
Spotsylvania Courthouse,419,38.1982,-77.5885
Danville,420,40.1423,-87.6114
Shelbyville,421,35.4987,-86.4516
Billings,422,45.7891,-108.5524
Milton,423,41.009,-76.8507
Sebring,424,27.477,-81.453
Paris,425,33.6688,-95.546
Lewiston,426,44.0915,-70.1681
Waldorf,427,38.6085,-76.9195
Sevierville,428,35.8873,-83.5677
East Liverpool,429,40.6333,-80.5677
New Braunfels,430,29.6994,-98.1148
Emporia,431,38.4028,-96.1924
El Centro,432,32.7867,-115.5586
Morganton,433,35.7408,-81.7003
Homosassa Springs,434,28.8118,-82.5392
Roanoke Rapids,435,36.4452,-77.6491
State College,436,40.7909,-77.8568
Odessa,437,31.8831,-102.3406
Coeur d'Alene,438,47.7041,-116.7935
Ashtabula,439,41.8806,-80.7984
West Memphis,440,35.1531,-90.1995
Dallas,441,33.9153,-84.8416
Athens,442,34.7847,-86.951
St. Cloud,443,45.5339,-94.1718
Aquia Harbour,444,38.4597,-77.3806
Madisonville,445,37.3408,-87.5034
Victoria,446,28.8285,-96.985
Enid,447,36.4061,-97.8701
Lafayette,448,30.2084,-92.0323
Waterville,449,44.5441,-69.6624
Dover,450,43.1887,-70.8845
Waverly,451,42.7401,-84.6353
Big Stone Gap,452,36.8626,-82.7769
Plainfield,453,39.6953,-86.3717
La Crosse,454,43.824,-91.2268
Indiana,455,40.622,-79.1552
Hot Springs,456,34.4892,-93.0501
Show Low,457,34.2671,-110.0384
Logan,458,41.74,-111.8419
Rapid City,459,44.0716,-103.2204
Dubuque,460,42.5008,-90.7067
Sioux City,461,42.4959,-96.3901
Bainbridge,462,30.9046,-84.5727
Burlington,463,44.4877,-73.2314
Texarkana,464,33.4361,-93.996
Holland,465,42.7677,-86.0985
Hattiesburg,466,31.3074,-89.317
Cañon City,467,38.443,-105.2203
Paducah,468,37.0711,-88.6436
Adrian,469,41.8994,-84.0446
Texarkana,470,33.4487,-94.0815
Morgantown,471,39.638,-79.9468
Price,472,39.604,-110.8004
Yuba City,473,39.1357,-121.6381
Kirksville,474,40.1986,-92.5753
Sapulpa,475,36.0089,-96.1006
Martins Ferry,476,40.1014,-80.7253
Orangeburg,477,33.4928,-80.867
Kittanning,478,40.8279,-79.5233
Bellingham,479,48.7543,-122.4687
Portsmouth,480,38.7539,-82.9446
Newnan,481,33.3766,-84.7761
Winder,482,33.9917,-83.7218
Longview,483,46.1461,-122.9629
Zanesville,484,39.9565,-82.0132
Andalusia,485,31.3101,-86.4781
Grand Junction,486,39.0876,-108.5673
Springfield,487,36.4943,-86.8709
Bend,488,44.0562,-121.3087
Oswego,489,43.4516,-76.5005
Mechanicsville,490,37.6262,-77.3561
Elkton,491,39.6067,-75.8208
Lufkin,492,31.3217,-94.7277
Muskogee,493,35.7431,-95.3568
Flagstaff,494,35.1872,-111.6195
New Bern,495,35.0955,-77.0723
Pocatello,496,42.8724,-112.4646
Dalton,497,34.769,-84.9712
Missoula,498,46.875,-114.0214
Wausau,499,44.962,-89.6459
Pinehurst,500,35.1922,-79.4684
